ERROR 2025-05-15 21:26:58,933 apps 40548 20628 Error initializing recommendation engine: cannot import name 'ensure_recommendation_engine_in_path' from 'recommendation.utils' (A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\utils.py)
ERROR 2025-05-15 21:28:18,281 apps 16628 31984 Error initializing recommendation engine: cannot import name 'ensure_recommendation_engine_in_path' from 'recommendation.utils' (A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\utils.py)
ERROR 2025-05-15 21:28:29,649 apps 20932 41008 Error initializing recommendation engine: cannot import name 'ensure_recommendation_engine_in_path' from 'recommendation.utils' (A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\utils.py)
ERROR 2025-05-15 21:29:16,400 apps 13680 29380 Error initializing recommendation engine: cannot import name 'ensure_recommendation_engine_in_path' from 'recommendation.utils' (A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\utils.py)
ERROR 2025-05-15 21:29:47,149 apps 33488 37560 Error initializing recommendation engine: cannot import name 'ensure_recommendation_engine_in_path' from 'recommendation.utils' (A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\utils.py)
INFO 2025-05-15 21:29:48,551 services 33488 37560 Starting training of svd recommendation model
INFO 2025-05-15 21:29:48,907 recommendation_engine 33488 37560 RecommendationEngine initialized with model type: SVD
INFO 2025-05-15 21:29:48,908 recommendation_engine 33488 37560 Starting model training process...
INFO 2025-05-15 21:29:48,908 recommendation_engine 33488 37560 Filtering users with less than 5 ratings.
INFO 2025-05-15 21:29:48,910 recommendation_engine 33488 37560 Users before filtering: 4. Users after filtering: 4. Ratings remaining: 2008
INFO 2025-05-15 21:29:48,911 recommendation_engine 33488 37560 Creating Surprise Dataset with scale (1, 5).
INFO 2025-05-15 21:29:48,926 recommendation_engine 33488 37560 Splitting data into training and testing sets.
INFO 2025-05-15 21:29:48,951 recommendation_engine 33488 37560 Training SVD model...
INFO 2025-05-15 21:29:48,974 recommendation_engine 33488 37560 Model training complete.
INFO 2025-05-15 21:29:48,974 recommendation_engine 33488 37560 Evaluating model on the test set...
INFO 2025-05-15 21:29:48,976 recommendation_engine 33488 37560 Evaluation - RMSE: 1.2631, MAE: 1.0832
ERROR 2025-05-15 21:29:48,977 services 33488 37560 Model training failed
INFO 2025-05-15 21:33:22,204 utils 25192 24936 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-15 21:33:31,538 utils 34992 37936 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-15 21:33:31,776 utils 14272 19772 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-15 21:33:32,855 services 34992 37936 Starting training of svd recommendation model
INFO 2025-05-15 21:33:33,059 recommendation_engine 34992 37936 RecommendationEngine initialized with model type: SVD
INFO 2025-05-15 21:33:33,059 recommendation_engine 34992 37936 Starting model training process...
INFO 2025-05-15 21:33:33,059 recommendation_engine 34992 37936 Filtering users with less than 5 ratings.
INFO 2025-05-15 21:33:33,061 recommendation_engine 34992 37936 Users before filtering: 4. Users after filtering: 4. Ratings remaining: 2008
INFO 2025-05-15 21:33:33,061 recommendation_engine 34992 37936 Creating Surprise Dataset with scale (1, 5).
INFO 2025-05-15 21:33:33,065 recommendation_engine 34992 37936 Splitting data into training and testing sets.
